Gene_Name,TPM_uncorrected,,Global_Frequency,Present_in_Transcripts,Transcript_Length,TPM_corrected_GSB,Fixed Mean (xc),Fixed Standard Deviation (w),Report,,Gene_Name,ratio(corrected/uncorrected),TPM_uncorrected,TPM_corrected_GSB
DYNLL1P6,0,,1,DYNLL1P6|ENST00000503440.2,215,0,45.37,5.46,OK,,,,,
DYNLL1P7,14.19085138,,1,DYNLL1P7|ENST00000429273.1,541,17.92,43.92,5.86,OK,,,,,
DYNLL2,37.96689379,,1,DYNLL2|ENST00000579991.3,6758,38.48,46.27,9.8,OK,,,,,
DYNLRB1,83.83843766,,1,DYNLRB1|ENST00000696986.1,4967,81.85,49.59,12.52,OK,,,,,
DYNLRB2,0.410786965,,1,DYNLRB2|ENST00000562982.5,1565,0.46,39.13,9.12,OK,,,,,
DYNLT1,41.20913477,,1,DYNLT1|ENST00000367088.1,2997,43.47,41.33,11.22,OK,,,,,
DYNLT2,2.81595024,,3,"DYNLT2|ENST00000366774.4, DYNLT2|ENST00000630251.1, DYNLT2|ENST00000628156.1",2582,3.52,33.89,13.63,OK,,,,,
DYNLT2B,19.34700781,,1,DYNLT2B|ENST00000491186.5,1291,27.63,39.1,18.81,OK,,,,,
DYNLT3,11.95753829,,2,"DYNLT3|ENST00000378581.7, DYNLT3|ENST00000378578.9",3068,13.62,35.37,14.96,OK,,,,,
DYNLT3P1,0.167018385,,1,DYNLT3P1|ENST00000378574.2,298,0.23,42.21,7.53,OK,,,,,
DYNLT3P2,0,,1,DYNLT3P2|ENST00000442517.2,246,0,41.75,5.68,OK,,,,,
DYNLT4,0.006246421,,1,DYNLT4|ENST00000339355.3,1328,0.01,74.33,16.82,OK,,,,,
DYNLT5,0.121599404,,2,"DYNLT5|ENST00000525663.5, DYNLT5|ENST00000282670.7",3445,0.13,35.65,7.68,OK,,,,,
DYRK1A,17.90981822,,1,DYRK1A|ENST00000646523.1,27294,17.29,42.08,10.62,OK,,,,,
DYRK1B,10.38878442,,2,"DYRK1B|ENST00000631090.2, DYRK1B|ENST00000593685.5",3259,10.39,63.09,9.38,OK,,,,,
DYRK2,80.66741519,,1,DYRK2|ENST00000543747.1,9464,87.56,40.97,15.3,OK,,,,,
DYRK3,0.88007806,,1,DYRK3|ENST00000367109.8,10354,0.88,43.39,9.2,OK,,,,,
DYRK4,3.335098414,,1,DYRK4|ENST00000543431.6,7417,3.22,46.8,8.47,OK,,,,,
DYSF,1.944617288,,1,DYSF|ENST00000258104.8,8973,1.97,56.72,7.87,OK,,,,,
DYTN,0,,2,"DYTN|ENST00000674258.1, DYTN|ENST00000452335.2",2882,0,47.03,8.48,OK,,,,,
DZANK1,3.191657089,,2,"DZANK1|ENST00000476058.5, DZANK1|ENST00000609267.5",9211,3.37,48.09,11.27,OK,,,,,
DZIP1,1.722478395,,2,"DZIP1|ENST00000361396.6, DZIP1|ENST00000376829.7",8553,1.79,40.57,13.91,OK,,,,,
DZIP1L,1.088150573,,3,"DZIP1L|ENST00000327532.7, DZIP1L|ENST00000467030.5, DZIP1L|ENST00000492010.1",5180,1.02,56.42,10.82,OK,,,,,
DZIP3,8.318531361,,2,"DZIP3|ENST00000361582.8, DZIP3|ENST00000495008.5",7125,8.4,36.54,7.64,OK,,,,,
E2F1,6.280327639,,1,E2F1|ENST00000343380.6,2641,6.17,59.85,9.56,OK,,,,,
E2F2,15.68327217,,2,"E2F2|ENST00000361729.3, E2F2|ENST00000634683.2",5413,16.19,56.42,9.94,OK,,,,,
E2F3,10.48615709,,1,E2F3|ENST00000346618.8,5189,10.94,43.27,12.81,OK,,,,,
E2F3P1,0.147502266,,1,E2F3P1|ENST00000589887.1,1181,0.13,43.12,13.53,OK,,,,,
E2F3P2,15.53893937,,1,E2F3P2|ENST00000447755.1,4035,15.83,43.6,8.94,OK,,,,,
E2F4,36.74265675,,1,E2F4|ENST00000379378.8,3971,37.22,58.16,7.12,OK,,,,,
E2F4P1,0,,1,E2F4P1|ENST00000422443.2,1084,0,53.48,6.95,OK,,,,,
E2F5,11.76792485,,2,"E2F5|ENST00000416274.7, E2F5|ENST00000418930.6",6182,12.07,36.62,10.29,OK,,,,,
E2F6,3.385278396,,9,"E2F6|ENST00000428221.5, E2F6|ENST00000542100.5, E2F6|ENST00000421117.1, E2F6|ENST00000498701.1, E2F6|ENST00000307236.8, E2F6|ENST00000546212.2, E2F6|ENST00000437573.5, E2F6|ENST00000381525.8, E2F6|ENST00000444832.5",4260,3.75,40.61,12.95,OK,,,,,
E2F6P1,2.681895359,,1,E2F6P1|ENST00000428850.2,1180,2.57,45.03,8.12,OK,,,,,
E2F6P2,2.01361389,,1,E2F6P2|ENST00000420708.1,1378,2.13,40.21,7.81,OK,,,,,
E2F6P3,4.075906401,,1,E2F6P3|ENST00000441743.1,694,3.79,43.36,6.46,OK,,,,,
E2F6P4,0,,1,E2F6P4|ENST00000468625.1,465,0,N/A,N/A,Unsuitable Fit - Optimal parameters not found: Number of calls to function has reached maxfev = 1000.,,,,,
E2F7,1.600688814,,1,E2F7|ENST00000322886.12,6382,1.55,42.87,10.54,OK,,,,,
E2F8,7.239743698,,2,"E2F8|ENST00000620009.4, E2F8|ENST00000527884.5",4126,7.5,44.35,12.83,OK,,,,,
E4F1,15.24765929,,1,E4F1|ENST00000565090.5,6894,15.44,64.68,6.97,OK,,,,,
EAF1,20.60462165,,2,"EAF1|ENST00000396842.7, EAF1|ENST00000449565.1",4909,21.19,45.28,12.27,OK,,,,,
EAF2,7.227188975,,1,EAF2|ENST00000490434.5,1864,6.94,39.28,8.17,OK,,,,,
EAPP,61.230272,,2,"EAPP|ENST00000555683.1, EAPP|ENST00000250454.8",2002,63.15,39.61,11.03,OK,,,,,
EARS2,7.797154917,,9,"EARS2|ENST00000562799.1, EARS2|ENST00000562581.5, EARS2|ENST00000561859.5, EARS2|ENST00000674054.1, EARS2|ENST00000564501.5, EARS2|ENST00000564668.5, EARS2|ENST00000449606.7, EARS2|ENST00000563499.1, EARS2|ENST00000564997.1",7486,8.12,53.65,11.68,OK,,,,,
EBAG9,5.005557658,,1,EBAG9|ENST00000395785.7,8088,5.27,35.71,10.01,OK,,,,,
EBAG9P1,2.992174971,,1,EBAG9P1|ENST00000418955.1,761,3.25,38.14,7.06,OK,,,,,
EBF1,1.661726411,,1,EBF1|ENST00000519890.5,6507,1.83,42.12,15.52,OK,,,,,
EBF2,0.194584184,,1,EBF2|ENST00000520164.6,7098,0.17,45.82,10.13,OK,,,,,
EBF3,0,,2,"EBF3|ENST00000355311.10, EBF3|ENST00000440978.2",7729,0,45.95,17.8,OK,,,,,
EBF4,1.955559397,,2,"EBF4|ENST00000380648.9, EBF4|ENST00000609451.6",4244,2.13,64.23,12.15,OK,,,,,
EBI3,3.47931849,,1,EBI3|ENST00000221847.6,1204,3.27,63.92,8.14,OK,,,,,
EBLN1,0,,1,EBLN1|ENST00000422359.3,1728,0,41.71,9.17,OK,,,,,
EBLN2,13.38944382,,1,EBLN2|ENST00000533473.1,1630,13.62,42.96,8.28,OK,,,,,
EBNA1BP2,11.09432552,,1,EBNA1BP2|ENST00000236051.3,3660,10.56,50.34,11,OK,,,,,
EBP,55.15223825,,1,EBP|ENST00000276096.10,1897,56.67,54.59,6.54,OK,,,,,
EBPL,135.847726,,1,EBPL|ENST00000242827.11,1746,168.88,43.12,21.93,OK,,,,,
ECD,25.69550321,,5,"ECD|ENST00000484976.6, ECD|ENST00000372979.9, ECD|ENST00000494307.1, ECD|ENST00000454759.6, ECD|ENST00000430082.6",3862,22.24,43.57,9.55,OK,,,,,
ECE1,73.79100689,,2,"ECE1|ENST00000415912.6, ECE1|ENST00000649812.1",7326,73.43,57.62,8.27,OK,,,,,
ECE2,0.085423954,,1,ECE2|ENST00000359140.8,5001,0.09,56.56,7.29,OK,,,,,
ECEL1,0.136408319,,4,"ECEL1|ENST00000411860.5, ECEL1|ENST00000409941.1, ECEL1|ENST00000482346.1, ECEL1|ENST00000304546.6",3071,0.15,62.6,9.28,OK,,,,,
ECEL1P1,0,,1,ECEL1P1|ENST00000373592.2,1693,0,59.67,9.71,OK,,,,,
ECEL1P2,0,,1,ECEL1P2|ENST00000465689.1,708,0,65.81,8.13,OK,,,,,
ECEL1P3,0,,1,ECEL1P3|ENST00000427961.1,810,0,63.13,9.03,OK,,,,,
ECH1,122.9264442,,6,"ECH1|ENST00000635650.1, ECH1|ENST00000598707.5, ECH1|ENST00000634809.1, ECH1|ENST00000594391.5, ECH1|ENST00000634928.1, ECH1|ENST00000601333.1",2714,125.66,57.06,6.96,OK,,,,,
ECHDC1,19.74155687,,1,ECHDC1|ENST00000531967.5,6168,19.54,38.28,8.33,OK,,,,,
ECHDC2,32.9964171,,6,"ECHDC2|ENST00000476477.6, ECHDC2|ENST00000542552.1, ECHDC2|ENST00000536120.5, ECHDC2|ENST00000371522.9, ECHDC2|ENST00000544365.5, ECHDC2|ENST00000460612.5",12427,33.89,53.55,11.91,OK,,,,,
ECHDC3,24.23133254,,1,ECHDC3|ENST00000496136.5,2269,27.26,58.75,12.44,OK,,,,,
ECHS1,188.9499074,,1,ECHS1|ENST00000368547.4,1228,197.08,53.97,10.94,OK,,,,,
ECI1,41.70196186,,2,"ECI1|ENST00000566379.1, ECI1|ENST00000301729.9",3289,43.33,62.65,9.95,OK,,,,,
ECI2,29.2173467,,2,"ECI2|ENST00000380125.6, ECI2|ENST00000465828.5",4937,29.25,43.48,8,OK,,,,,
ECM1,4.94938136,,1,ECM1|ENST00000470432.5,3585,4.92,57.13,6.41,OK,,,,,
ECM1P1,0,,1,ECM1P1|ENST00000604092.1,1834,0,51.5,6.68,OK,,,,,
ECM1P2,0,,1,ECM1P2|ENST00000503354.1,1670,0,46.6,5.71,OK,,,,,
ECM2,0.906579695,,2,"ECM2|ENST00000444490.6, ECM2|ENST00000707290.1",4909,0.93,37.2,12.26,OK,,,,,
ECMXP,0,,1,ECMXP|ENST00000635752.1,1840,0,65.05,5.87,OK,,,,,
ECPAS,58.018581,,2,"ECPAS|ENST00000684092.1, ECPAS|ENST00000338205.9",8615,58.99,42.63,8.44,OK,,,,,
ECRG4,3.444434233,,1,ECRG4|ENST00000493478.5,1740,3.46,43.12,12.11,OK,,,,,
ECSCR,1.58809199,,2,"ECSCR|ENST00000618155.3, ECSCR|ENST00000673382.1",982,1.64,53.22,8.62,OK,,,,,
ECSIT,21.98419088,,5,"ECSIT|ENST00000588998.5, ECSIT|ENST00000270517.12, ECSIT|ENST00000252440.11, ECSIT|ENST00000417981.6, ECSIT|ENST00000691750.1",6960,23.49,59.91,8.22,OK,,,,,
ECT2,30.15643984,,1,ECT2|ENST00000232458.9,5824,26.09,35.79,8.88,OK,,,,,
ECT2L,0.463521186,,1,ECT2L|ENST00000401414.4,4653,0.54,40.09,10.41,OK,,,,,
EDA,3.579696117,,7,"EDA|ENST00000502251.5, EDA|ENST00000338901.4, EDA|ENST00000374548.5, EDA|ENST00000527388.5, EDA|ENST00000374553.6, EDA|ENST00000525810.5, EDA|ENST00000533317.5",7325,3.63,53.15,11.72,OK,,,,,
EDA2R,2.314178715,,1,EDA2R|ENST00000374719.8,3615,2.53,46.77,11.31,OK,,,,,
EDAR,1.756869719,,2,"EDAR|ENST00000376651.1, EDAR|ENST00000409271.5",4469,1.86,49.47,12.65,OK,,,,,
EDARADD,5.232434556,,1,EDARADD|ENST00000637660.1,3961,5.79,49.82,9.64,OK,,,,,
EDC3,16.47855634,,3,"EDC3|ENST00000315127.9, EDC3|ENST00000565602.5, EDC3|ENST00000566119.5",5558,16.83,51.24,7.7,OK,,,,,
EDC4,40.89977232,,2,"EDC4|ENST00000572221.5, EDC4|ENST00000358933.10",6605,40.24,58.58,6.59,OK,,,,,
EDDM13,0.032277224,,1,EDDM13|ENST00000649256.2,2570,0.04,49.78,6.16,OK,,,,,
EDDM3A,0,,1,EDDM3A|ENST00000326842.3,883,0,40.16,10.31,OK,,,,,
EDDM3B,0,,1,EDDM3B|ENST00000326783.4,870,0,40.1,6.63,OK,,,,,
EDDM3CP,0,,1,EDDM3CP|ENST00000415977.1,376,0,42.35,4.92,OK,,,,,
EDDM3DP,0,,1,EDDM3DP|ENST00000554692.1,1005,0,46.66,8.75,OK,,,,,
EDEM1,44.20825502,,1,EDEM1|ENST00000434243.5,6733,46.14,47.09,14.03,OK,,,,,
EDEM2,49.73178858,,2,"EDEM2|ENST00000374492.8, EDEM2|ENST00000374491.3",1881,47.01,53.94,8.13,OK,,,,,
EDEM3,30.29050723,,6,"EDEM3|ENST00000693477.1, EDEM3|ENST00000692182.1, EDEM3|ENST00000474725.5, EDEM3|ENST00000318130.13, EDEM3|ENST00000689946.1, EDEM3|ENST00000367512.8",19129,30.47,35.7,9.61,OK,,,,,
EDF1,161.6187138,,2,"EDF1|ENST00000371649.5, EDF1|ENST00000224073.6",1227,174.85,59.54,8.14,OK,,,,,
EDIL3,52.87221907,,1,EDIL3|ENST00000296591.10,5820,55.63,34.26,11.47,OK,,,,,
EDN1,25.20526926,,1,EDN1|ENST00000379375.6,1986,25.63,43.74,16.1,OK,,,,,
EDN2,6.647094042,,1,EDN2|ENST00000372587.5,1827,6.58,61.7,8.06,OK,,,,,
EDN3,56.23161735,,1,EDN3|ENST00000311585.11,3562,65.96,50.8,19.27,OK,,,,,
EDNRA,1.469719815,,4,"EDNRA|ENST00000324300.10, EDNRA|ENST00000511804.5, EDNRA|ENST00000648866.1, EDNRA|ENST00000358556.8",4377,1.64,39.43,11.29,OK,,,,,
EDNRB,7.522714281,,1,EDNRB|ENST00000377211.8,5691,7.97,37.5,13.74,OK,,,,,
EDRF1,12.75486816,,2,"EDRF1|ENST00000481600.5, EDRF1|ENST00000419769.6",8056,12.64,41.22,9.86,OK,,,,,
EEA1,16.38475201,,3,"EEA1|ENST00000547833.5, EEA1|ENST00000418984.7, EEA1|ENST00000322349.13",10241,16.92,34.71,8.98,OK,,,,,
EED,7.536073031,,1,EED|ENST00000707108.1,7228,7.63,36.29,8.38,OK,,,,,
EEDP1,0,,1,EEDP1|ENST00000420490.1,1177,0,36.47,5.86,OK,,,,,
EEF1A1,1392.489083,,2,"EEF1A1|ENST00000676547.1, EEF1A1|ENST00000331523.7",10683,1484.81,44.58,8.99,OK,,,,,
EEF1A1P1,30.52410255,,1,EEF1A1P1|ENST00000447052.1,690,22.1,48.4,5.69,OK,,,,,
EEF1A1P10,288.6479775,,1,EEF1A1P10|ENST00000475365.1,1341,322.26,46.23,5.84,OK,,,,,
EEF1A1P11,2329.077436,,1,EEF1A1P11|ENST00000415278.1,1719,2257.4,45.79,5.18,OK,,,,,
EEF1A1P12,654.6334799,,1,EEF1A1P12|ENST00000443590.1,2467,732.36,49.98,7.84,OK,,,,,
EEF1A1P13,3413.741537,,1,EEF1A1P13|ENST00000503537.1,1340,3410,47.41,5.93,OK,,,,,
EEF1A1P14,688.6523576,,1,EEF1A1P14|ENST00000421195.1,1327,771.67,45.7,6.02,OK,,,,,
EEF1A1P15,0,,1,EEF1A1P15|ENST00000395772.3,1359,0,42.74,5.87,OK,,,,,
EEF1A1P16,179.7205693,,1,EEF1A1P16|ENST00000325349.6,3396,192.89,45.51,5.84,OK,,,,,
EEF1A1P17,11.94217781,,1,EEF1A1P17|ENST00000547505.2,1226,13.68,45.9,6.05,OK,,,,,
EEF1A1P18,0,,1,EEF1A1P18|ENST00000605239.1,751,0,48.14,6.44,OK,,,,,
EEF1A1P19,912.9198,,1,EEF1A1P19|ENST00000513637.1,3401,1050.04,41.54,8.96,OK,,,,,
EEF1A1P2,0.002966826,,1,EEF1A1P2|ENST00000553854.1,1398,0,44.01,7.53,OK,,,,,
EEF1A1P20,0,,1,EEF1A1P20|ENST00000514852.1,1337,0,41.3,5.96,OK,,,,,
EEF1A1P21,0,,1,EEF1A1P21|ENST00000512363.2,1295,0,40.98,5.25,OK,,,,,
EEF1A1P22,480.5072928,,1,EEF1A1P22|ENST00000559385.1,1331,508.61,45.79,5.88,OK,,,,,
EEF1A1P23,0.645019164,,1,EEF1A1P23|ENST00000420064.1,553,0.67,42.26,5.99,OK,,,,,
EEF1A1P24,190.0915959,,1,EEF1A1P24|ENST00000451469.1,1329,198.2,44.63,5.78,OK,,,,,
EEF1A1P25,408.4217035,,1,EEF1A1P25|ENST00000495704.1,1218,310.6,44.9,4.87,OK,,,,,
EEF1A1P26,0.012625946,,1,EEF1A1P26|ENST00000458319.1,1314,0.01,42.34,4.84,OK,,,,,
EEF1A1P27,0.173948805,,1,EEF1A1P27|ENST00000429983.1,4125,0.19,43.25,9.17,OK,,,,,
EEF1A1P28,17.67885002,,1,EEF1A1P28|ENST00000450915.1,2237,18.64,42.18,8.55,OK,,,,,
EEF1A1P29,91.92290552,,1,EEF1A1P29|ENST00000416082.1,1591,110.44,49.47,7.11,OK,,,,,
EEF1A1P3,122.1637693,,1,EEF1A1P3|ENST00000417549.1,2040,114.73,43.98,5.97,OK,,,,,
EEF1A1P30,1.200627777,,1,EEF1A1P30|ENST00000429708.2,1900,1.25,44.59,5.95,OK,,,,,
EEF1A1P31,0,,1,EEF1A1P31|ENST00000415978.2,1082,0,41.52,8.21,OK,,,,,
EEF1A1P32,0.813290664,,1,EEF1A1P32|ENST00000418613.2,2606,0.88,42.51,5.55,OK,,,,,
EEF1A1P33,106.7357512,,1,EEF1A1P33|ENST00000554413.1,1313,126.57,43.15,6.19,OK,,,,,
EEF1A1P34,2.540267084,,1,EEF1A1P34|ENST00000419888.1,5793,2.75,45.77,9.69,OK,,,,,
EEF1A1P35,544.0919109,,1,EEF1A1P35|ENST00000509116.1,1338,567.82,45.19,4.54,OK,,,,,
EEF1A1P36,0.191468571,,1,EEF1A1P36|ENST00000427807.1,1603,0.23,45.9,7.2,OK,,,,,
EEF1A1P37,0,,1,EEF1A1P37|ENST00000522748.1,1547,0,40.48,6.82,OK,,,,,
EEF1A1P38,188.8128094,,1,EEF1A1P38|ENST00000567658.1,1340,195.57,45.65,5.25,OK,,,,,
EEF1A1P39,0.619048243,,1,EEF1A1P39|ENST00000440791.1,201,0.77,41.77,4.62,OK,,,,,
EEF1A1P4,344.863391,,1,EEF1A1P4|ENST00000359165.5,1698,387.35,45.27,6.24,OK,,,,,
EEF1A1P40,0,,1,EEF1A1P40|ENST00000412883.1,738,0,34.08,6.44,OK,,,,,
EEF1A1P41,0,,1,EEF1A1P41|ENST00000414667.1,158,0,43.49,13.81,OK,,,,,
EEF1A1P42,0,,1,EEF1A1P42|ENST00000613436.1,1282,0,41.74,7.07,OK,,,,,
EEF1A1P44,15.33266006,,1,EEF1A1P44|ENST00000430498.1,1286,14.68,43.96,6.81,OK,,,,,
EEF1A1P45,0,,1,EEF1A1P45|ENST00000492880.1,1287,0,45.86,6.08,OK,,,,,
EEF1A1P46,35.4713207,,1,EEF1A1P46|ENST00000401075.3,1293,39.59,46.03,4.99,OK,,,,,
EEF1A1P47,1.919839523,,1,EEF1A1P47|ENST00000525759.1,862,2.18,45.01,7.28,OK,,,,,
EEF1A1P48,0,,1,EEF1A1P48|ENST00000451300.2,1137,0,52.73,6.45,OK,,,,,
EEF1A1P49,0,,1,EEF1A1P49|ENST00000528208.2,876,0,55.47,8.09,OK,,,,,
EEF1A1P5,8179.809437,,1,EEF1A1P5|ENST00000436459.2,1340,8290.43,47.57,5.62,OK,,,,,
EEF1A1P50,71.57695528,,1,EEF1A1P50|ENST00000445363.1,1430,72.95,44.28,6.18,OK,,,,,
EEF1A1P6,7091.211629,,1,EEF1A1P6|ENST00000434005.1,1335,7434.69,47.72,5.67,OK,,,,,
EEF1A1P7,521.5582245,,1,EEF1A1P7|ENST00000596811.1,1345,535.27,45.48,6.62,OK,,,,,
EEF1A1P8,270.8097506,,1,EEF1A1P8|ENST00000419025.1,1339,270.95,46.58,6.64,OK,,,,,
EEF1A1P9,1903.967376,,1,EEF1A1P9|ENST00000514975.1,1334,1939.72,47.29,5.81,OK,,,,,
EEF1A2,2.614225143,,1,EEF1A2|ENST00000675519.1,5123,2.1,62.75,7.72,OK,,,,,
EEF1AKMT1,4.67410172,,1,EEF1AKMT1|ENST00000382758.6,1292,4.76,43.35,8.86,OK,,,,,
EEF1AKMT2,10.04511342,,6,"EEF1AKMT2|ENST00000495711.2, EEF1AKMT2|ENST00000466270.5, EEF1AKMT2|ENST00000652548.3, EEF1AKMT2|ENST00000498770.1, EEF1AKMT2|ENST00000368836.7, EEF1AKMT2|ENST00000464099.5",5864,10.6,34.93,9.25,OK,,,,,
EEF1AKMT3,6.503991676,,1,EEF1AKMT3|ENST00000548256.5,3200,6.49,49.67,11.36,OK,,,,,
EEF1AKMT4,7.623385244,,1,EEF1AKMT4|ENST00000324557.9,926,8.45,58.19,6.62,OK,,,,,
EEF1AKMT4-ECE2,1.419180858,,1,EEF1AKMT4-ECE2|ENST00000402825.7,3396,1.45,57.4,7.22,OK,,,,,
EEF1B2,177.6593731,,2,"EEF1B2|ENST00000635728.1, EEF1B2|ENST00000236957.9",2187,189.29,46.55,10.87,OK,,,,,
EEF1B2P1,52.54765674,,1,EEF1B2P1|ENST00000567221.2,623,69.47,42.47,9.37,OK,,,,,
EEF1B2P2,31.8315199,,1,EEF1B2P2|ENST00000519625.1,627,37.6,43.81,8.17,OK,,,,,
EEF1B2P3,662.6755021,,1,EEF1B2P3|ENST00000447718.1,839,702.15,47.89,11.56,OK,,,,,
EEF1B2P4,0,,1,EEF1B2P4|ENST00000551398.1,299,0,40.11,7.13,OK,,,,,
EEF1B2P5,1.382541076,,1,EEF1B2P5|ENST00000444820.2,1392,1.39,45.72,8.87,OK,,,,,
EEF1B2P6,179.5242881,,1,EEF1B2P6|ENST00000445713.1,624,194.52,44.3,8.3,OK,,,,,
EEF1B2P7,6.43174079,,1,EEF1B2P7|ENST00000451177.1,1489,5.86,43.15,6.93,OK,,,,,
EEF1B2P8,0,,1,EEF1B2P8|ENST00000414101.1,2207,0,38.01,8.24,OK,,,,,
EEF1D,32.88244608,,13,"EEF1D|ENST00000533833.5, EEF1D|ENST00000631698.1, EEF1D|ENST00000530848.5, EEF1D|ENST00000528610.5, EEF1D|ENST00000632659.1, EEF1D|ENST00000526838.5, EEF1D|ENST00000614575.4, EEF1D|ENST00000531621.5, EEF1D|ENST00000395119.7, EEF1D|ENST00000632675.1, EEF1D|ENST00000532400.1, EEF1D|ENST00000631650.1, EEF1D|ENST00000634175.1",11170,33.13,62.22,8.77,OK,,,,,
EEF1DP1,21.86266002,,2,"EEF1DP1|ENST00000585891.1, EEF1DP1|ENST00000673349.1",1195,27.22,59.06,13.55,OK,,,,,
EEF1DP2,18.35610583,,1,EEF1DP2|ENST00000433698.2,794,11.9,59,6.35,OK,,,,,
EEF1DP3,1.154318061,,1,EEF1DP3|ENST00000566025.1,733,1.19,60.97,8.86,OK,,,,,
EEF1DP4,0,,1,EEF1DP4|ENST00000446006.1,831,0,57.31,7.79,OK,,,,,
EEF1DP5,0,,1,EEF1DP5|ENST00000431410.1,723,0,61.16,9.93,OK,,,,,
EEF1DP6,0,,1,EEF1DP6|ENST00000449232.1,323,0,54.47,6.78,OK,,,,,
EEF1DP7,22.20559149,,1,EEF1DP7|ENST00000580496.1,879,10.94,53.39,7.45,OK,,,,,
EEF1DP8,2.897598442,,1,EEF1DP8|ENST00000534760.1,1012,2.9,N/A,N/A,Unsuitable Fit - Optimal parameters not found: Number of calls to function has reached maxfev = 1000.,,,,,
EEF1E1,7.474508304,,3,"EEF1E1|ENST00000379715.10, EEF1E1|ENST00000507463.1, EEF1E1|ENST00000429723.6",2077,7.95,38.13,10.49,OK,,,,,
EEF1E1-BLOC1S5,17.43270848,,1,EEF1E1-BLOC1S5|ENST00000397456.2,719,19.4,38.93,9.57,OK,,,,,
EEF1E1P1,2.6235622,,1,EEF1E1P1|ENST00000446998.2,381,2.57,38.15,2.53,OK,,,,,
EEF1G,750.2935296,,1,EEF1G|ENST00000329251.5,2666,769.2,53.57,6.89,OK,,,,,
EEF1GP1,0.308583168,,1,EEF1GP1|ENST00000457231.1,1250,0,49.8,6.83,OK,,,,,
EEF1GP2,4.127141139,,1,EEF1GP2|ENST00000509352.1,1620,5.96,48.78,12.39,OK,,,,,
EEF1GP3,0.010042671,,1,EEF1GP3|ENST00000421044.1,1239,0.01,49.31,7.91,OK,,,,,
EEF1GP4,0.006593996,,1,EEF1GP4|ENST00000467631.1,1258,0,47.64,4.28,OK,,,,,
EEF1GP5,7.587224615,,1,EEF1GP5|ENST00000434365.1,1857,8.6,47.08,10.72,OK,,,,,
EEF1GP6,0,,1,EEF1GP6|ENST00000402309.1,1267,0,44.26,6.63,OK,,,,,
EEF1GP7,0,,1,EEF1GP7|ENST00000422983.1,654,0,49.2,5.68,OK,,,,,
EEF1GP8,0.026274536,,1,EEF1GP8|ENST00000506566.1,1105,0.02,50.55,6.11,OK,,,,,
EEF2,771.7921576,,2,"EEF2|ENST00000600794.1, EEF2|ENST00000309311.7",4033,790.41,59.39,8.01,OK,,,,,
EEF2K,49.09439902,,3,"EEF2K|ENST00000263026.10, EEF2K|ENST00000638831.3, EEF2K|ENST00000644765.2",8135,49.92,50.54,11.55,OK,,,,,
EEF2KMT,3.938194581,,1,EEF2KMT|ENST00000427587.9,3545,3.78,56.41,10.01,OK,,,,,
EEFSEC,11.02377366,,2,"EEFSEC|ENST00000254730.11, EEFSEC|ENST00000644579.2",2534,11.51,59.72,10.4,OK,,,,,
EEIG1,76.14971276,,1,EEIG1|ENST00000373095.6,6639,75.25,59.85,8.84,OK,,,,,
EEIG2,28.94545367,,1,EEIG2|ENST00000405454.1,9389,30.08,37.38,10.85,OK,,,,,
EEPD1,9.59181883,,1,EEPD1|ENST00000242108.9,4712,9.25,56.65,9.8,OK,,,,,
EFCAB10,0.378466742,,1,EFCAB10|ENST00000469099.5,2674,0.44,36.49,13.04,OK,,,,,
EFCAB11,11.67309057,,4,"EFCAB11|ENST00000556639.5, EFCAB11|ENST00000316738.12, EFCAB11|ENST00000538485.6, EFCAB11|ENST00000555608.5",8400,11.83,40.69,10.77,OK,,,,,
EFCAB12,1.492174528,,1,EFCAB12|ENST00000505956.6,7869,1.31,53.23,8.62,OK,,,,,
EFCAB13,2.416295194,,1,EFCAB13|ENST00000518170.1,6909,2.45,34.21,7.36,OK,,,,,
EFCAB14,81.74307348,,3,"EFCAB14|ENST00000674302.1, EFCAB14|ENST00000674268.1, EFCAB14|ENST00000484461.2",16640,89.76,41.77,12.17,OK,,,,,
EFCAB14P1,20.35741643,,1,EFCAB14P1|ENST00000442409.1,414,49.95,60.49,22.87,OK,,,,,
EFCAB15P,2.659758387,,1,EFCAB15P|ENST00000642422.1,1037,2.81,60.66,9.02,OK,,,,,
EFCAB2,37.84039208,,1,EFCAB2|ENST00000366523.6,8939,30.69,43.92,12.66,OK,,,,,
EFCAB3,1.986450788,,1,EFCAB3|ENST00000635817.2,3086,2.11,38.66,6.22,OK,,,,,
EFCAB3P1,3.185705622,,1,EFCAB3P1|ENST00000478818.1,401,3.5,37.66,5.09,OK,,,,,
EFCAB5,1.13902641,,1,EFCAB5|ENST00000448319.5,7199,1.13,39.39,7.83,OK,,,,,
EFCAB6,0.583437394,,1,EFCAB6|ENST00000461800.5,8744,0.59,44.41,11.1,OK,,,,,
EFCAB7,1.513210854,,1,EFCAB7|ENST00000480886.1,9078,1.64,49.3,12.15,OK,,,,,
EFCAB8,0.110720451,,1,EFCAB8|ENST00000400522.9,4720,0.1,53.65,7.97,OK,,,,,
EFCAB9,0,,1,EFCAB9|ENST00000398186.5,655,0,37.3,9.06,OK,,,,,
EFCC1,1.651180484,,2,"EFCC1|ENST00000683648.1, EFCC1|ENST00000436022.2",3268,1.66,62.32,10.33,OK,,,,,
